"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"XIAO_RP2350_Hybrid_Castellated_or_Header";1;"XIAO_RP2350";;;
2;"C1, C2, C3, C4, C5, C6, C7, C8";"C_0603_1608Metric";8;"100nF";;;
3;"C9";"C_0603_1608Metric";1;"10uF";;;
4;"J1, J2";"FFC_0.5mm_FH12_32_16_12way_Composite";2;"FFC_32P_0.5mm";;;
5;"R1, R2";"R_0603_1608Metric";2;"3.3k";;;
6;"R3, R4";"R_0603_1608Metric";2;"33R";;;
7;"R5";"R_0603_1608Metric";1;"0R";;;
8;"U1, U2, U3, U4";"TSSOP-16_4.4x5mm_P0.65mm";4;"74LVC595A";;;
9;"U5, U6";"SSOP-24_5.3x8.2mm_P0.65mm";2;"CD74HC4067SM";;;
10;"U7";"MSOP-8_3x3mm_P0.65mm";1;"TLV9062";;;
