Designator,Mid X,Mid Y,Layer,Rotation
C1,120.451616,-117.400000,Top,-90.000000
C2,115.072132,-117.400000,Top,-90.000000
C3,109.465714,-117.781157,Top,-90.000000
C4,104.007887,-117.706894,Top,-90.000000
C5,147.554606,-115.701596,Top,180.000000
C6,137.985070,-117.836162,Top,-90.000000
C7,157.726596,-123.500000,Top,0.000000
C8,150.647300,-126.192874,Top,-90.000000
C9,117.141399,-121.399203,Top,90.000000
C10,150.980690,-128.073874,Top,180.000000
C11,125.301625,-125.925851,Top,-90.000000
C12,118.010746,-130.699999,Top,0.000000
C13,129.300000,-125.683536,Top,-90.000000
C14,131.550000,-120.720000,Top,0.000000
C15,131.550000,-117.920000,Top,0.000000
C16,129.449999,-115.600000,Top,90.000000
C17,128.099001,-115.600065,Top,90.000000
C18,126.500000,-115.600000,Top,90.000000
C19,124.000000,-115.500000,Top,180.000000
C20,122.507075,-130.300000,Top,90.000000
C21,129.000000,-129.449999,Top,0.000000
C22,109.195714,-120.395578,Top,90.000000
C23,114.047714,-121.398427,Top,90.000000
C24,121.499484,-119.914973,Top,180.000000
C25,126.500000,-125.950000,Top,-90.000000
C26,152.598996,-126.336242,Top,0.000000
C27,103.540000,-120.220000,Top,-90.000000
C28,121.762430,-115.600000,Top,90.000000
C29,111.288746,-130.480800,Top,0.000000
C31,150.469271,-118.016730,Top,90.000000
C32,149.554138,-118.081977,Top,90.000000
C33,121.619987,-117.919189,Top,180.000000
C34,121.623281,-121.920000,Top,180.000000
C35,133.100000,-120.320000,Top,0.000000
C36,132.982005,-118.320000,Top,0.000000
C37,141.883512,-126.895423,Top,90.000000
C38,139.430861,-126.450562,Top,90.000000
C39,99.811746,-122.651480,Top,-90.000000
C40,130.400000,-125.683088,Top,-90.000000
C41,115.478714,-121.398845,Top,90.000000
C42,143.515249,-125.363546,Top,90.000000
C43,130.850000,-113.952105,Top,90.000000
C44,123.089952,-113.400000,Top,180.000000
C45,134.400000,-121.000000,Top,-90.000000
C46,145.700000,-125.100000,Top,0.000000
D1,101.317266,-120.010480,Top,180.000000
D2,151.488161,-133.201154,Top,90.000000
D3,144.000000,-136.101463,Top,0.000000
D4,148.189690,-128.333463,Top,90.000000
D5,137.400000,-126.000000,Top,180.000000
J1,112.456863,-104.446643,Top,180.000000
J2,139.340487,-104.446643,Top,180.000000
J3,155.889244,-130.971463,Top,90.000000
J4,102.036746,-130.971463,Top,-90.000000
J5,135.592512,-132.801463,Top,0.000000
J6,111.018512,-135.181463,Top,90.000000
L1,126.050000,-113.600000,Top,0.000000
L2,111.496714,-120.905989,Top,-90.000000
Q1,147.500000,-133.700000,Top,180.000000
R1,158.494244,-117.800000,Top,-90.000000
R2,154.345246,-124.000000,Top,0.000000
R3,119.042399,-120.200000,Top,180.000000
R4,118.970726,-119.000000,Top,180.000000
R5,119.042399,-121.398782,Top,0.000000
R6,156.727354,-118.731295,Top,180.000000
R7,156.853970,-119.845242,Top,0.000000
R8,157.795098,-121.098338,Top,180.000000
R9,157.733037,-122.300255,Top,0.000000
R10,150.437723,-129.747898,Top,0.000000
R15,135.700000,-120.500000,Top,-90.000000
R16,135.698296,-118.098198,Top,90.000000
R17,147.500000,-136.356463,Top,180.000000
R18,104.787807,-123.263716,Top,180.000000
R19,104.768867,-122.332716,Top,180.000000
R20,120.873593,-123.400720,Top,180.000000
R21,151.390271,-118.062105,Top,-90.000000
R22,148.591555,-118.071977,Top,-90.000000
R23,128.940000,-113.500000,Top,0.000000
R24,130.949999,-116.000000,Top,0.000000
R25,125.750000,-105.600000,Top,180.000000
R26,134.391669,-116.175426,Top,180.000000
R27,149.616879,-131.238110,Top,0.000000
R28,146.513393,-131.322740,Top,180.000000
R29,145.000000,-134.000000,Top,90.000000
R30,120.850000,-124.500000,Top,180.000000
R31,120.850000,-125.600000,Top,180.000000
R32,134.876120,-124.755375,Top,90.000000
R33,134.742292,-126.606375,Top,-90.000000
R34,129.338815,-127.568154,Top,0.000000
R35,130.415088,-111.495553,Top,-90.000000
R36,126.150000,-127.900000,Top,0.000000
R37,111.399999,-124.599999,Top,90.000000
R38,141.550000,-124.300000,Top,0.000000
SW1,125.897874,-103.048495,Top,0.000000
U1,118.561430,-112.537314,Top,-90.000000
U2,113.070501,-112.629585,Top,-90.000000
U3,107.579501,-113.030157,Top,-90.000000
U4,102.088501,-112.928886,Top,-90.000000
U5,153.155606,-112.492022,Top,180.000000
U6,140.478151,-112.585162,Top,180.000000
U7,154.056354,-120.199116,Top,-90.000000
U8,150.089364,-122.092977,Top,-90.000000
U9,126.505926,-120.651214,Top,0.000000
U10,107.927746,-127.424716,Top,-90.000000
U11,114.649746,-127.663512,Top,-90.000000
U12,106.424714,-120.171716,Top,180.000000
U13,132.524652,-125.839861,Top,0.000000
U14,145.048690,-127.873039,Top,0.000000
Y1,125.900000,-130.130197,Top,0.000000
